sample,time_us,amplitude
247,6.175,0.001953125
248,6.2,0.001953125
249,6.225,0.00146484375
250,6.25,0.00146484375
251,6.275,0.001953125
252,6.3,0.001953125
253,6.325,0.001953125
254,6.35,0.001708984375
255,6.375,0.001953125
256,6.4,0.001953125
257,6.425,0.001953125
258,6.45,0.001708984375
259,6.475,0.001708984375
260,6.5,0.001953125
261,6.525,0.002197265625
262,6.55,0.001953125
263,6.575,0.002197265625
264,6.6,0.001953125
265,6.625,0.001953125
266,6.65,0.001953125
267,6.675,0.001953125
268,6.7,0.001953125
269,6.725,0.001953125
270,6.75,0.001708984375
271,6.775,0.001953125
272,6.8,0.001953125
273,6.825,0.001953125
274,6.85,0.001708984375
275,6.875,0.001708984375
276,6.9,0.001708984375
277,6.925,0.002197265625
278,6.95,0.001953125
279,6.975,0.002197265625
280,7.0,0.001708984375
281,7.025,0.001953125
282,7.05,0.001708984375
283,7.075,0.001953125
284,7.1,0.001953125
285,7.125,0.001953125
286,7.15,0.001953125
287,7.175,0.001708984375
288,7.2,0.001708984375
289,7.225,0.001708984375
290,7.25,0.001708984375
291,7.275,0.001708984375
292,7.3,0.001953125
293,7.325,0.001953125
294,7.35,0.001708984375
295,7.375,0.001708984375
296,7.4,0.001953125
297,7.425,0.001708984375
298,7.45,0.001708984375
299,7.475,0.001708984375
300,7.5,0.001708984375
301,7.525,0.001953125
302,7.55,0.001953125
303,7.575,0.001708984375
304,7.6,0.001953125
305,7.625,0.001708984375
306,7.65,0.001708984375
307,7.675,0.002197265625
308,7.7,0.001708984375
309,7.725,0.001953125
310,7.75,0.001708984375
311,7.775,0.001953125
312,7.8,0.001708984375
313,7.825,0.001953125
314,7.85,0.001953125
315,7.875,0.001708984375
316,7.9,0.001708984375
317,7.925,0.001708984375
318,7.95,0.001708984375
319,7.975,0.001708984375
320,8.0,0.00146484375
321,8.025,0.001708984375
322,8.05,0.001708984375
323,8.075,0.001708984375
324,8.1,0.001953125
325,8.125,0.001708984375
326,8.15,0.001708984375
327,8.175,0.001708984375
328,8.2,0.001708984375
329,8.225,0.00146484375
330,8.25,0.001708984375
331,8.275,0.00146484375
332,8.3,0.001708984375
333,8.325,0.001708984375
334,8.35,0.001708984375
335,8.375,0.001708984375
336,8.4,0.001708984375
337,8.425,0.00146484375
338,8.45,0.001220703125
339,8.475,0.00146484375
340,8.5,0.001708984375
341,8.525,0.001708984375
342,8.55,0.00146484375
343,8.575,0.001220703125
344,8.6,0.00146484375
345,8.625,0.001708984375
346,8.65,0.001708984375
347,8.675,0.001708984375
348,8.7,0.001708984375
349,8.725,0.00146484375
350,8.75,0.00146484375
351,8.775,0.001708984375
352,8.8,0.00146484375
353,8.825,0.001708984375
354,8.85,0.001708984375
355,8.875,0.001708984375
356,8.9,0.001708984375
357,8.925,0.001708984375
358,8.95,0.001708984375
359,8.975,0.00146484375
360,9.0,0.001708984375
361,9.025,0.001708984375
362,9.05,0.001953125
363,9.075,0.001708984375
364,9.1,0.001708984375
365,9.125,0.001708984375
366,9.15,0.00146484375
367,9.175,0.001708984375
368,9.2,0.001953125
369,9.225,0.00146484375
370,9.25,0.001708984375
371,9.275,0.00146484375
372,9.3,0.001708984375
373,9.325,0.001708984375
374,9.35,0.001708984375
375,9.375,0.00146484375
376,9.4,0.001708984375
377,9.425,0.001708984375
378,9.45,0.00146484375
379,9.475,0.00146484375
380,9.5,0.00146484375
381,9.525,0.001708984375
382,9.55,0.001708984375
383,9.575,0.00146484375
384,9.6,0.00146484375
385,9.625,0.001708984375
386,9.65,0.00146484375
387,9.675,0.001708984375
388,9.7,0.00146484375
389,9.725,0.00146484375
390,9.75,0.00146484375
391,9.775,0.001708984375
392,9.8,0.001708984375
393,9.825,0.00146484375
394,9.85,0.001708984375
395,9.875,0.001708984375
396,9.9,0.00146484375
397,9.925,0.001708984375
398,9.95,0.001708984375
399,9.975,0.001708984375
400,10.0,0.00146484375
401,10.025,0.001708984375
402,10.05,0.001953125
403,10.075,0.001708984375
404,10.1,0.001953125
405,10.125,0.001708984375
406,10.15,0.001953125
407,10.175,0.001708984375
408,10.2,0.001953125
409,10.225,0.00146484375
410,10.25,0.001708984375
411,10.275,0.001953125
412,10.3,0.001708984375
413,10.325,0.001953125
414,10.35,0.001708984375
415,10.375,0.001708984375
416,10.4,0.001953125
417,10.425,0.001953125
418,10.45,0.001953125
419,10.475,0.001708984375
420,10.5,0.001953125
421,10.525,0.001953125
422,10.55,0.001708984375
423,10.575,0.001708984375
424,10.6,0.001953125
425,10.625,0.001953125
426,10.65,0.001708984375
427,10.675,0.001708984375
428,10.7,0.001708984375
429,10.725,0.001708984375
430,10.75,0.001953125
431,10.775,0.001953125
432,10.8,0.001708984375
433,10.825,0.002197265625
434,10.85,0.001953125
435,10.875,0.001953125
436,10.9,0.002197265625
437,10.925,0.001953125
438,10.95,0.002197265625
439,10.975,0.001953125
440,11.0,0.001953125
441,11.025,0.001953125
442,11.05,0.001953125
443,11.075,0.001708984375
444,11.1,0.001708984375
445,11.125,0.001708984375
446,11.15,0.001708984375
447,11.175,0.001708984375
448,11.2,0.001953125
449,11.225,0.001953125
450,11.25,0.001953125
451,11.275,0.001953125
452,11.3,0.001953125
453,11.325,0.001953125
454,11.35,0.001953125
455,11.375,0.001953125
456,11.4,0.001708984375
457,11.425,0.001708984375
458,11.45,0.001708984375
459,11.475,0.001708984375
460,11.5,0.001220703125
