sample,amplitude
0,0.00244140625
1,0.00244140625
2,0.00244140625
3,0.002197265625
4,0.002685546875
5,0.00244140625
6,0.00244140625
7,0.001953125
8,0.0
9,0.00439453125
10,0.003173828125
11,0.001953125
12,0.0029296875
13,0.001953125
14,0.003173828125
15,0.002197265625
16,0.002197265625
17,0.002197265625
18,0.002197265625
19,0.002197265625
20,0.00244140625
21,0.001953125
22,0.002197265625
23,0.00244140625
24,0.00244140625
25,0.00244140625
26,0.002197265625
27,0.00244140625
28,0.00244140625
29,0.001953125
30,0.002197265625
31,0.002197265625
32,0.002197265625
33,0.00244140625
34,0.002197265625
35,-0.007080078125
36,0.01220703125
37,-0.00048828125
38,0.00341796875
39,0.002197265625
40,0.002197265625
41,0.002197265625
42,0.002197265625
43,0.00244140625
44,0.002197265625
45,0.002197265625
46,0.002197265625
47,0.002197265625
48,0.002197265625
49,0.002197265625
50,0.002197265625
51,0.002197265625
52,0.00244140625
53,0.002197265625
54,0.002197265625
55,0.002197265625
56,0.002197265625
57,0.001953125
58,0.001953125
59,0.002197265625
60,0.001953125
61,0.002197265625
62,0.001953125
63,0.001953125
64,0.001953125
65,0.002197265625
66,0.002197265625
67,0.001953125
68,0.002197265625
69,0.002197265625
70,0.00244140625
71,0.001953125
72,0.001953125
73,0.002197265625
74,0.002197265625
75,0.002197265625
76,0.001953125
77,0.001953125
78,0.002197265625
79,0.002197265625
80,0.001953125
81,0.001953125
82,0.001953125
83,0.001953125
84,0.001708984375
85,0.001953125
86,0.002197265625
87,0.002197265625
88,0.001953125
89,0.001953125
90,0.001953125
91,0.002197265625
92,0.001953125
93,0.002197265625
94,0.002197265625
95,0.001953125
96,0.002197265625
97,0.001953125
98,0.001953125
99,0.002197265625
100,0.001953125
101,0.001953125
102,0.001953125
103,0.001953125
104,0.001953125
105,0.001953125
106,0.001953125
107,0.001953125
108,0.001708984375
109,0.001953125
110,0.002197265625
111,0.002197265625
112,0.002197265625
113,0.001953125
114,0.002197265625
115,0.001953125
116,0.002197265625
117,0.001953125
118,0.002197265625
119,0.002197265625
120,0.002197265625
121,0.002197265625
122,0.001953125
123,0.001953125
124,0.002197265625
125,0.002197265625
126,0.002197265625
127,0.002197265625
128,0.00244140625
129,0.001953125
130,0.002197265625
